Reference Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
Current Avg Element A,Current,amperes,,analogInput,presentValue,FALSE,1141,,
Current CH1 A,CurrentA,amperes,,analogInput,presentValue,FALSE,1143,,
Current CH2 A,CurrentB,amperes,,analogInput,presentValue,FALSE,1145,,
Current CH3 A,CurrentC,amperes,,analogInput,presentValue,FALSE,1147,,
Voltage L to N Avg element A,VoltageN,volts,,analogInput,presentValue,FALSE,1149,,
Voltage L1 to N A,VoltageAN,volts,,analogInput,presentValue,FALSE,1151,,
Voltage L2 to N A,VoltageBN,volts,,analogInput,presentValue,FALSE,1153,,
Voltage L3 to N A,VoltageCN,volts,,analogInput,presentValue,FALSE,1155,,
AC Voltage L to L Avg Element A,VoltageLL,volts,,analogInput,presentValue,FALSE,1157,,
Voltage L1 to L2 A,VoltageAB,volts,,analogInput,presentValue,FALSE,1159,,
Voltage L2 to L3 A,VoltageBC,volts,,analogInput,presentValue,FALSE,1161,,
Voltage L3 to L1 A,VoltageCA,volts,,analogInput,presentValue,FALSE,1163,,
Line Frequency,Frequency,hertz,,analogInput,presentValue,FALSE,1165,,
Power Sum Element A,WholeBuildingPower,kilowatts,,analogInput,presentValue,FALSE,1167,,
Power CH1 A,PowerA,kilowatts,,analogInput,presentValue,FALSE,1169,,
Power CH2 A,PowerB,kilowatts,,analogInput,presentValue,FALSE,1171,,
Power CH3 A,PowerC,kilowatts,,analogInput,presentValue,FALSE,1173,,
VA Sum Element A,ApparentPower,kilovoltAmperes,,analogInput,presentValue,FALSE,1175,,
VA CH1 A,ApparentPowerA,kilovoltAmperes,,analogInput,presentValue,FALSE,1177,,
VA CH2 A,ApparentPowerB,kilovoltAmperes,,analogInput,presentValue,FALSE,1179,,
VA CH3 A,ApparentPowerC,kilovoltAmperes,,analogInput,presentValue,FALSE,1181,,
VAR Sum Element A,ReactivePower,kilovoltAmperesReactive,,analogInput,presentValue,FALSE,1183,,
VAR CH1 A,ReactivePowerA,kilovoltAmperesReactive,,analogInput,presentValue,FALSE,1185,,
VAR CH2 A,ReactivePowerB,kilovoltAmperesReactive,,analogInput,presentValue,FALSE,1187,,
VAR CH3 A,ReactivePowerC,kilovoltAmperesReactive,,analogInput,presentValue,FALSE,1189,,
Apparent PF Element A,PowerFactor,powerFactor,,analogInput,presentValue,FALSE,1191,,
Apparent PF CH1 A,PowerFactorA,powerFactor,,analogInput,presentValue,FALSE,1193,,
Apparent PF CH2 A,PowerFactorB,powerFactor,,analogInput,presentValue,FALSE,1195,,
Apparent PF CH3 A,PowerFactorC,powerFactor,,analogInput,presentValue,FALSE,1197,,
THD Element A,TotalHarmonicDistortion,percent,,analogInput,presentValue,FALSE,2324,,
THD CH1 A,TotalHarmonicDistortionA,percent,,analogInput,presentValue,FALSE,2326,,
THD CH2 A,TotalHarmonicDistortionB,percent,,analogInput,presentValue,FALSE,2328,,
THD CH3 A,TotalHarmonicDistortionC,percent,,analogInput,presentValue,FALSE,2330,,
Theta CH1 A,ThetaA,degreesAngular,,analogInput,presentValue,FALSE,2371,,
Theta CH2 A,ThetaB,degreesAngular,,analogInput,presentValue,FALSE,2373,,
Theta CH3 A,ThetaC,degreesAngular,,analogInput,presentValue,FALSE,2375,,
Theta Element A,Theta,degreesAngular,,analogInput,presentValue,FALSE,2391,,
Reset to User Defaults,Reset to User Defaults,Enum,0-1,binaryValue,presentValue,FALSE,2105,,
Service Type A,ServiceType,State,State count: 5,multiStateValue,presentValue,FALSE,2207,,"1=3-wire, 3-Phase, 2=2-wire, 1-Phase, 3=3-wire, 1-Phase, 4=Disable Element"
