Reference Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
UO10 Binary Output,UO10 Binary Output,Enum,0-1 (default 0),binaryOutput,presentValue,FALSE,94,,
BO1 Auxiliary Binary Output,BO1 Auxiliary Binary Output,Enum,0-1 (default 1),binaryOutput,presentValue,FALSE,98,,
UO11 Binary Output,UO11 Binary Output,Enum,0-1 (default 0),binaryOutput,presentValue,FALSE,101,,
UO12 Binary Output,UO12 Binary Output,Enum,0-1 (default 0),binaryOutput,presentValue,FALSE,102,,
G Fan Status,G Fan Status,Enum,0-1 (default 0),binaryOutput,presentValue,FALSE,25,,
Y1 Status,Y1 Status,Enum,0-1 (default 0),binaryOutput,presentValue,FALSE,26,,
Y2 Status,Y2 Status,Enum,0-1 (default 0),binaryOutput,presentValue,FALSE,27,,
W1 Status,W1 Status,Enum,0-1 (default 0),binaryOutput,presentValue,FALSE,28,,
W2/OB Status,W2/OB Status,Enum,0-1 (default 0),binaryOutput,presentValue,FALSE,29,,
UI16 Binary Input,UI16 Binary Input,Enum,0-1,binaryInput,presentValue,FALSE,29,,
UI17 Binary Input,UI17 Binary Input,Enum,0-1,binaryInput,presentValue,FALSE,30,,
UI19 Binary Input,UI19 Binary Input,Enum,0-1,binaryInput,presentValue,FALSE,91,,
UI20 Binary Input,UI20 Binary Input,Enum,0-1,binaryInput,presentValue,FALSE,94,,
UI22 Binary Input,UI22 Binary Input,Enum,0-1,binaryInput,presentValue,FALSE,95,,
UI23 Binary Input,UI23 Binary Input,Enum,0-1,binaryInput,presentValue,FALSE,96,,
UI24 Binary Input,UI24 Binary Input,Enum,0-1,binaryInput,presentValue,FALSE,97,,
Filter Alarm,Filter Alarm,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,36,,
Service Alarm,Service Alarm,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,37,,
Window Alarm,Window Alarm,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,35,,
PIR Local Motion,PIR Local Motion,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,32,,
Dehumidification Status,Dehumidification Status,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,38,,
Low Battery Alarm,Low Battery Alarm,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,5,,
Window Contact Installed,Window Contact Installed,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,4,,
Window Contact Status,Window Contact Status,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,3,,
Door Contact Installed,Door Contact Installed,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,2,,
Door Contact Status,Door Contact Status,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,1,,
Display Long Screen Message,Display Long Screen Message,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,7,,
Force High Backlight,Force High Backlight,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,6,,
Fan Lock Alarm,Fan Lock Alarm,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,39,,
Smart Recovery Status,Smart Recovery Status,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,40,,
Exception Status,Exception Status,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,10,,
CO2 Alarm,CO2 Alarm,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,41,,
Low Fresh Air Alarm,Low Fresh Air Alarm,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,42,,
Frost Protection Alarm,Frost Protection Alarm,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,43,,
ZigBee PIR Sensor Installed,ZigBee PIR Sensor Installed,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,200,,
ZigBee Sensor Motion,ZigBee Sensor Motion,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,201,,
Clock Alarm,Clock Alarm,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,8,,
Water Leak,Water Leak,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,44,,
Water Leak Sensor Installed,Water Leak Sensor Installed,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,45,,
Water leak sensor status,Water leak sensor status,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,46,,
Low Temperature,Low Temperature,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,47,,
Load Shedding Demand,Load Shedding Demand,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,48,,
Load Shedding Status,Load Shedding Status,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,49,,
Load Shedding Override,Load Shedding Override,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,50,,
High Temperature,High Temperature,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,53,,
Hardware fault,Hardware fault,Enum,0-1 (default 0),binaryValue,presentValue,FALSE,54,,
Occupied Cool Setpoint,Occupied Cool Setpoint,degreesFahrenheit,(default 71.0),analogValue,presentValue,FALSE,40,,
Occupied Heat Setpoint,Occupied Heat Setpoint,degreesFahrenheit,(default 73.0),analogValue,presentValue,FALSE,39,,
Unoccupied Cool Setpoint,Unoccupied Cool Setpoint,degreesFahrenheit,(default 80.0),analogValue,presentValue,FALSE,44,,
Unoccupied Heat Setpoint,Unoccupied Heat Setpoint,degreesFahrenheit,(default 62.0),analogValue,presentValue,FALSE,43,,
Heating Setpoint Limit,Heating Setpoint Limit,degreesFahrenheit,(default 90.0),analogValue,presentValue,FALSE,58,,
Cooling Setpoint Limit,Cooling Setpoint Limit,degreesFahrenheit,(default 54.0),analogValue,presentValue,FALSE,59,,
Calibrate Room Temperature Sensor,Calibrate Room Temperature Sensor,deltaDegreesFahrenheit,(default 0.0),analogValue,presentValue,FALSE,7,,
Standby Cool Setpoint,Standby Cool Setpoint,degreesFahrenheit,(default 78.0),analogValue,presentValue,FALSE,42,,
Standby Heat Setpoint,Standby Heat Setpoint,degreesFahrenheit,(default 69.0),analogValue,presentValue,FALSE,41,,
Dehumidification Setpoint,Dehumidification Setpoint,percentRelativeHumidity,(default 50.0),analogValue,presentValue,FALSE,71,,
Calibrate Humidity Sensor,Calibrate Humidity Sensor,percentRelativeHumidity,(default 0.0),analogValue,presentValue,FALSE,8,,
Dehumidification Hysteresis,Dehumidification Hysteresis,percentRelativeHumidity,(default 5.0),analogValue,presentValue,FALSE,72,,
Main Password,Main Password,noUnits,(default 0.0),analogValue,presentValue,FALSE,56,,
COM Address,COM Address,noUnits,(default 254.0),analogValue,presentValue,FALSE,10,,
Minimum Deadband,Minimum Deadband,deltaDegreesFahrenheit,(default 3.0),analogValue,presentValue,FALSE,63,,
Heating CPH,Heating CPH,noUnits,(default 4.0),analogValue,presentValue,FALSE,84,,
Cooling CPH,Cooling CPH,noUnits,(default 4.0),analogValue,presentValue,FALSE,85,,
Unoccupied Time,Unoccupied Time,hours,(default 0.0),analogValue,presentValue,FALSE,68,,
Temporary Occupancy Time,Temporary Occupancy Time,hours,(default 2.0),analogValue,presentValue,FALSE,62,,
Standby Time,Standby Time,hours,(default 0.5),analogValue,presentValue,FALSE,67,,
Proportional Band,Proportional Band,noUnits,(default 3.0),analogValue,presentValue,FALSE,65,,
Cooling Demand Limit,Cooling Demand Limit,percent,(default 0.0),analogValue,presentValue,FALSE,89,,
Heating Demand Limit,Heating Demand Limit,percent,(default 0.0),analogValue,presentValue,FALSE,88,,
BACnet Stack Poll Rate,BACnet Stack Poll Rate,noUnits,(default 4.0),analogValue,presentValue,FALSE,16,,
Low Backlight,Low Backlight,percent,(default 60.0),analogValue,presentValue,FALSE,3,,
Night Backlight,Night Backlight,percent,(default 5.0),analogValue,presentValue,FALSE,4,,
Standby Temperature Differential,Standby Temperature Differential,deltaDegreesFahrenheit,(default 4.0),analogValue,presentValue,FALSE,46,,
User Password,User Password,noUnits,(default 0.0),analogValue,presentValue,FALSE,57,,
User HMI,User HMI,noUnits,(default 1.0),analogValue,presentValue,FALSE,2,,
Default Heating Setpoint,Default Heating Setpoint,degreesFahrenheit,(default 72.0),analogValue,presentValue,FALSE,45,,
Anti Short Cycle Time,Anti Short Cycle Time,minutes,(default 2.0),analogValue,presentValue,FALSE,86,,
Number of Heating Stages,Number of Heating Stages,noUnits,(default 2.0),analogValue,presentValue,FALSE,87,,
Number of Cooling Stages,Number of Cooling Stages,noUnits,(default 2.0),analogValue,presentValue,FALSE,75,,
Power-up Delay,Power-up Delay,seconds,(default 10.0),analogValue,presentValue,FALSE,76,,
Calibrate Outside Temperature Sensor,Calibrate Outside Temperature Sensor,deltaDegreesFahrenheit,(default 0.0),analogValue,presentValue,FALSE,74,,
Heating Lockout from Outside Air Temperature,Heating Lockout from Outside Air Temperature,degreesFahrenheit,(default 120.0),analogValue,presentValue,FALSE,91,,
Cooling Lockout,Cooling Lockout,degreesFahrenheit,(default -40.0),analogValue,presentValue,FALSE,93,,
Supply Air Setpoint,Supply Air Setpoint,degreesFahrenheit,(default 55.0),analogValue,presentValue,FALSE,94,,
Changeover Setpoint,Changeover Setpoint,degreesFahrenheit,(default 55.0),analogValue,presentValue,FALSE,95,,
Economizer Minimum Position,Economizer Minimum Position,percent,(default 0.0),analogValue,presentValue,FALSE,78,,
Economizer Maximum Position,Economizer Maximum Position,percent,(default 100.0),analogValue,presentValue,FALSE,81,,
Fresh Air Range Upper Limit,Fresh Air Range Upper Limit,cubicFeetPerMinute,(default 0.0),analogValue,presentValue,FALSE,96,,
Minimum Supply Heat,Minimum Supply Heat,degreesFahrenheit,(default 64.0),analogValue,presentValue,FALSE,97,,
Supply Heat Lockout,Supply Heat Lockout,degreesFahrenheit,(default 32.0),analogValue,presentValue,FALSE,98,,
Discharge High Limit,Discharge High Limit,degreesFahrenheit,(default 120.0),analogValue,presentValue,FALSE,99,,
Discharge Low Limit,Discharge Low Limit,degreesFahrenheit,(default 45.0),analogValue,presentValue,FALSE,20,,
Minimum Fresh Air,Minimum Fresh Air,cubicFeetPerMinute,(default 0.0),analogValue,presentValue,FALSE,21,,
Maximum Fresh Air,Maximum Fresh Air,cubicFeetPerMinute,(default 0.0),analogValue,presentValue,FALSE,22,,
Minimum CO2,Minimum CO2,partsPerMillion,(default 800.0),analogValue,presentValue,FALSE,23,,
Maximum CO2,Maximum CO2,partsPerMillion,(default 1200.0),analogValue,presentValue,FALSE,24,,
Lua Parameter A (AV25),Lua Parameter A (AV25),noUnits,(default 0.0),analogValue,presentValue,FALSE,25,,Param. A (AV25)
Lua Parameter B (AV26),Lua Parameter B (AV26),noUnits,(default 0.0),analogValue,presentValue,FALSE,26,,Param. B (AV26)
Lua Parameter C (AV27),Lua Parameter C (AV27),noUnits,(default 0.0),analogValue,presentValue,FALSE,27,,Param. C (AV27)
Lua Parameter D (AV28),Lua Parameter D (AV28),noUnits,(default 0.0),analogValue,presentValue,FALSE,28,,Param. D (AV28)
Lua Parameter E (AV29),Lua Parameter E (AV29),noUnits,(default 0.0),analogValue,presentValue,FALSE,29,,Param. E (AV29)
Lua Parameter F (AV30),Lua Parameter F (AV30),noUnits,(default 0.0),analogValue,presentValue,FALSE,30,,Param. F (AV30)
Lua Parameter G (AV225),Lua Parameter G (AV225),noUnits,(default 0.0),analogValue,presentValue,FALSE,225,,Param. G AV225
Lua Parameter H (AV226),Lua Parameter H (AV226),noUnits,(default 0.0),analogValue,presentValue,FALSE,226,,Param. H AV226
Lua Parameter I (AV227),Lua Parameter I (AV227),noUnits,(default 0.0),analogValue,presentValue,FALSE,227,,Param. I AV227
Lua Parameter J (AV228),Lua Parameter J (AV228),noUnits,(default 0.0),analogValue,presentValue,FALSE,228,,Param. J AV228
Lua Parameter K (AV229),Lua Parameter K (AV229),noUnits,(default 0.0),analogValue,presentValue,FALSE,229,,Param. K AV229
Lua Parameter L (AV230),Lua Parameter L (AV230),noUnits,(default 0.0),analogValue,presentValue,FALSE,230,,Param. L AV230
Keyboard Value,Keyboard Value,noUnits,(default 1.0),analogValue,presentValue,FALSE,92,,
High balance point,High balance point,degreesFahrenheit,(default 90.0),analogValue,presentValue,FALSE,82,,
Low balance point,Low balance point,degreesFahrenheit,(default -12.0),analogValue,presentValue,FALSE,83,,
Ambient Low Temperature Threshold,Ambient Low Temperature Threshold,degreesFahrenheit,(default 40.0),analogValue,presentValue,FALSE,209,,
Temperature Alarm Hysteresis,Temperature Alarm Hysteresis,deltaDegreesFahrenheit,(default 2.0),analogValue,presentValue,FALSE,210,,
Load Shedding Offset,Load Shedding Offset,deltaDegreesFahrenheit,(default 4.0),analogValue,presentValue,FALSE,211,,
UI19 Lua,UI19 Lua,noUnits,(default 0.0),analogValue,presentValue,FALSE,202,,
UI20 Lua,UI20 Lua,noUnits,(default 0.0),analogValue,presentValue,FALSE,203,,
UI22 Lua,UI22 Lua,noUnits,(default 0.0),analogValue,presentValue,FALSE,204,,
UI23 Lua,UI23 Lua,noUnits,(default 0.0),analogValue,presentValue,FALSE,205,,
